(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 1, 1.5, 0, 0, 3, 3): Return: 0.1%, Hit Ratio: 52.94%, Max Drawdown: 0.05%
(100, 1, 1.5, 0, 0, 3, 3.5): Return: 0.1%, Hit Ratio: 52.94%, Max Drawdown: 0.05%
(100, 1, 1.5, 0, 0, 3.5, 2.5): Return: 0.1%, Hit Ratio: 52.87%, Max Drawdown: 0.05%
(100, 1, 1.5, 0, 0, 3.5, 3): Return: 0.1%, Hit Ratio: 52.33%, Max Drawdown: 0.05%
(100, 1, 1.5, 0, 0, 3.5, 3.5): Return: 0.1%, Hit Ratio: 52.33%, Max Drawdown: 0.05%
(100, 1, 2, 0, -0.5, 2.5, 2.5): Return: 0.1%, Hit Ratio: 52.5%, Max Drawdown: 0.03%
(100, 1, 2, 0, -0.5, 2.5, 3): Return: 0.1%, Hit Ratio: 52.56%, Max Drawdown: 0.03%
(100, 1, 2, 0, -0.5, 2.5, 3.5): Return: 0.1%, Hit Ratio: 52.56%, Max Drawdown: 0.03%
(100, 1, 2, 0, 0, 2.5, 2.5): Return: 0.1%, Hit Ratio: 53.66%, Max Drawdown: 0.03%
(100, 1, 2, 0, 0, 2.5, 3): Return: 0.1%, Hit Ratio: 53.09%, Max Drawdown: 0.03%
(100, 1, 2, 0, 0, 2.5, 3.5): Return: 0.1%, Hit Ratio: 53.09%, Max Drawdown: 0.03%
(100, 1, 2, 0.5, -0.5, 2.5, 2.5): Return: 0.1%, Hit Ratio: 52.75%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, -0.5, 2.5, 3): Return: 0.1%, Hit Ratio: 51.65%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, -0.5, 2.5, 3.5): Return: 0.1%, Hit Ratio: 51.65%, Max Drawdown: 0.04%
(100, 1.5, 1.5, -0.5, 0, 3, 2.5): Return: 0.1%, Hit Ratio: 61.22%, Max Drawdown: 0.03%
(100, 1.5, 1.5, -0.5, 0, 3, 3): Return: 0.1%, Hit Ratio: 61.22%, Max Drawdown: 0.03%
(100, 1.5, 1.5, -0.5, 0, 3, 3.5): Return: 0.1%, Hit Ratio: 61.22%, Max Drawdown: 0.03%
(100, 1.5, 1.5, -0.5, 0, 3.5, 2.5): Return: 0.1%, Hit Ratio: 60.0%, Max Drawdown: 0.03%
(100, 1.5, 1.5, -0.5, 0, 3.5, 3): Return: 0.1%, Hit Ratio: 60.0%, Max Drawdown: 0.03%
(100, 1.5, 1.5, -0.5, 0, 3.5, 3.5): Return: 0.1%, Hit Ratio: 60.0%, Max Drawdown: 0.03%
(100, 1.5, 2, -0.5, -0.5, 2.5, 2.5): Return: 0.1%, Hit Ratio: 63.16%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, -0.5, 2.5, 3): Return: 0.1%, Hit Ratio: 63.16%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, -0.5, 2.5, 3.5): Return: 0.1%, Hit Ratio: 63.16%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, -0.5, 3, 2.5): Return: 0.1%, Hit Ratio: 64.86%, Max Drawdown: 0.03%
(100, 1.5, 2, -0.5, -0.5, 3, 3): Return: 0.1%, Hit Ratio: 64.86%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, -0.5, 3, 3.5): Return: 0.1%, Hit Ratio: 64.86%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, -0.5, 3.5, 2.5): Return: 0.1%, Hit Ratio: 63.16%, Max Drawdown: 0.03%
(100, 1.5, 2, -0.5, -0.5, 3.5, 3): Return: 0.1%, Hit Ratio: 63.16%, Max Drawdown: 0.03%
(100, 1.5, 2, -0.5, -0.5, 3.5, 3.5): Return: 0.1%, Hit Ratio: 63.16%, Max Drawdown: 0.03%
(100, 1.5, 2, -0.5, 0, 2.5, 2.5): Return: 0.1%, Hit Ratio: 64.1%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, 0, 2.5, 3): Return: 0.1%, Hit Ratio: 64.1%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, 0, 2.5, 3.5): Return: 0.1%, Hit Ratio: 64.1%, Max Drawdown: 0.02%
(100, 1.5, 2, 0, -0.5, 2.5, 3): Return: 0.1%, Hit Ratio: 57.89%, Max Drawdown: 0.03%
(100, 1.5, 2, 0, -0.5, 2.5, 3.5): Return: 0.1%, Hit Ratio: 57.89%, Max Drawdown: 0.03%
(100, 1.5, 2, 0, -0.5, 3, 3): Return: 0.1%, Hit Ratio: 59.46%, Max Drawdown: 0.03%
