(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1.5, 1, 0.5, -0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 52.38%, Max Drawdown: 0.06%
(30, 2, 1, -0.5, -0.5, 3, 3): Return: 0.02%, Hit Ratio: 63.16%, Max Drawdown: 0.03%
(30, 2, 1, -0.5, -0.5, 3, 3.5): Return: 0.02%, Hit Ratio: 63.16%, Max Drawdown: 0.03%
(30, 2, 1, 0, -0.5, 3, 2.5): Return: 0.02%, Hit Ratio: 54.1%, Max Drawdown: 0.03%
(30, 2, 1, 0, -0.5, 3, 3): Return: 0.02%, Hit Ratio: 52.46%, Max Drawdown: 0.03%
(30, 2, 1, 0, -0.5, 3, 3.5): Return: 0.02%, Hit Ratio: 52.46%, Max Drawdown: 0.03%
(30, 2, 1, 0, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 53.85%, Max Drawdown: 0.04%
(30, 2, 1, 0, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 52.31%, Max Drawdown: 0.04%
(30, 2, 1, 0, -0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 52.31%, Max Drawdown: 0.04%
(60, 1, 1, -0.5, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 54.07%, Max Drawdown: 0.03%
(60, 1, 1, -0.5, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 54.48%, Max Drawdown: 0.03%
(60, 1, 1, 0, -0.5, 3, 3.5): Return: 0.02%, Hit Ratio: 53.1%, Max Drawdown: 0.03%
(60, 1, 2, 0, -0.5, 2.5, 2.5): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(60, 1, 2, 0, -0.5, 2.5, 3): Return: 0.02%, Hit Ratio: 50.39%, Max Drawdown: 0.02%
(60, 1, 2, 0, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 53.19%, Max Drawdown: 0.02%
(60, 1, 2, 0, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 53.57%, Max Drawdown: 0.02%
(60, 1, 2, 0, 0, 2.5, 2.5): Return: 0.02%, Hit Ratio: 49.25%, Max Drawdown: 0.02%
(60, 1, 2, 0, 0, 2.5, 3): Return: 0.02%, Hit Ratio: 49.62%, Max Drawdown: 0.02%
(60, 1, 2, 0, 0, 3.5, 2.5): Return: 0.02%, Hit Ratio: 52.05%, Max Drawdown: 0.03%
(60, 1, 2, 0, 0, 3.5, 3): Return: 0.02%, Hit Ratio: 52.41%, Max Drawdown: 0.03%
(60, 1.5, 1, -0.5, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 59.77%, Max Drawdown: 0.03%
(60, 1.5, 1, -0.5, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 59.77%, Max Drawdown: 0.03%
(60, 1.5, 1, 0, -0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 55.32%, Max Drawdown: 0.02%
(60, 1.5, 2, 0, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 54.88%, Max Drawdown: 0.02%
(60, 1.5, 2, 0, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 54.88%, Max Drawdown: 0.02%
