(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1, 2, -0.5, -0.5, 3.5, 3): Return: -0.02%, Hit Ratio: 43.4%, Max Drawdown: 0.15%
(30, 1.5, 1, -0.5, -0.5, 3, 2.5): Return: -0.02%, Hit Ratio: 45.45%, Max Drawdown: 0.16%
(30, 1.5, 1, -0.5, -0.5, 3.5, 3): Return: -0.02%, Hit Ratio: 45.1%, Max Drawdown: 0.16%
(30, 1.5, 1, 0, -0.5, 2.5, 2.5): Return: -0.02%, Hit Ratio: 44.34%, Max Drawdown: 0.15%
(30, 1.5, 1, 0, -0.5, 3, 2.5): Return: -0.02%, Hit Ratio: 46.73%, Max Drawdown: 0.15%
(30, 1.5, 1, 0, -0.5, 3, 3): Return: -0.02%, Hit Ratio: 46.3%, Max Drawdown: 0.16%
(30, 1.5, 1, 0, -0.5, 3.5, 3): Return: -0.02%, Hit Ratio: 45.87%, Max Drawdown: 0.15%
(30, 1.5, 1.5, -0.5, -0.5, 2.5, 2.5): Return: -0.02%, Hit Ratio: 42.42%, Max Drawdown: 0.11%
(30, 1.5, 1.5, -0.5, -0.5, 2.5, 3): Return: -0.02%, Hit Ratio: 41.18%, Max Drawdown: 0.12%
(30, 1.5, 1.5, -0.5, -0.5, 3.5, 3.5): Return: -0.02%, Hit Ratio: 41.67%, Max Drawdown: 0.13%
(30, 1.5, 1.5, 0, -0.5, 2.5, 2.5): Return: -0.02%, Hit Ratio: 42.65%, Max Drawdown: 0.11%
(30, 1.5, 2, -0.5, 0, 2.5, 2.5): Return: -0.02%, Hit Ratio: 45.45%, Max Drawdown: 0.13%
(30, 1.5, 2, -0.5, 0, 2.5, 3): Return: -0.02%, Hit Ratio: 43.86%, Max Drawdown: 0.14%
(30, 1.5, 2, -0.5, 0, 3, 3): Return: -0.02%, Hit Ratio: 45.0%, Max Drawdown: 0.14%
(30, 1.5, 2, -0.5, 0.5, 2.5, 3): Return: -0.02%, Hit Ratio: 36.21%, Max Drawdown: 0.13%
(30, 1.5, 2, -0.5, 0.5, 3, 3.5): Return: -0.02%, Hit Ratio: 36.51%, Max Drawdown: 0.14%
(30, 1.5, 2, 0, 0, 3, 3.5): Return: -0.02%, Hit Ratio: 39.68%, Max Drawdown: 0.14%
(30, 1.5, 2, 0, 0, 3.5, 3.5): Return: -0.02%, Hit Ratio: 39.06%, Max Drawdown: 0.14%
(30, 1.5, 2, 0.5, 0, 2.5, 2.5): Return: -0.02%, Hit Ratio: 39.29%, Max Drawdown: 0.14%
(30, 1.5, 2, 0.5, 0, 3, 2.5): Return: -0.02%, Hit Ratio: 40.68%, Max Drawdown: 0.14%
(30, 1.5, 2, 0.5, 0, 3.5, 2.5): Return: -0.02%, Hit Ratio: 40.0%, Max Drawdown: 0.13%
(30, 1.5, 2, 0.5, 0.5, 2.5, 3): Return: -0.02%, Hit Ratio: 37.29%, Max Drawdown: 0.13%
(30, 1.5, 2, 0.5, 0.5, 3.5, 3.5): Return: -0.02%, Hit Ratio: 38.46%, Max Drawdown: 0.14%
(30, 2, 2, -0.5, -0.5, 3.5, 2.5): Return: -0.02%, Hit Ratio: 58.82%, Max Drawdown: 0.08%
(30, 2, 2, 0, -0.5, 2.5, 2.5): Return: -0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(30, 2, 2, 0, -0.5, 3, 2.5): Return: -0.02%, Hit Ratio: 56.25%, Max Drawdown: 0.07%
