(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1, 1.5, -0.5, 0, 2.5, 3): Return: 0.1%, Hit Ratio: 53.28%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, 0, 2.5, 3.5): Return: 0.1%, Hit Ratio: 53.28%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, 0, 3, 2.5): Return: 0.11%, Hit Ratio: 53.12%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, 0, 3, 3): Return: 0.12%, Hit Ratio: 54.26%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, 0, 3, 3.5): Return: 0.12%, Hit Ratio: 54.26%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, 0, 3.5, 2.5): Return: 0.11%, Hit Ratio: 52.71%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, 0, 3.5, 3): Return: 0.12%, Hit Ratio: 53.85%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, 0, 3.5, 3.5): Return: 0.12%, Hit Ratio: 53.85%, Max Drawdown: 0.03%
(30, 1, 1.5, -0.5, 0.5, 2.5, 2.5): Return: 0.08%, Hit Ratio: 53.17%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, 0.5, 2.5, 3): Return: 0.09%, Hit Ratio: 54.33%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, 0.5, 2.5, 3.5): Return: 0.09%, Hit Ratio: 54.33%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, 0.5, 3, 2.5): Return: 0.08%, Hit Ratio: 52.59%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, 0.5, 3, 3): Return: 0.08%, Hit Ratio: 53.68%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, 0.5, 3, 3.5): Return: 0.08%, Hit Ratio: 53.68%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, 0.5, 3.5, 2.5): Return: 0.08%, Hit Ratio: 53.28%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, 0.5, 3.5, 3): Return: 0.08%, Hit Ratio: 54.35%, Max Drawdown: 0.04%
(30, 1, 1.5, -0.5, 0.5, 3.5, 3.5): Return: 0.08%, Hit Ratio: 54.35%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, -0.5, 2.5, 2.5): Return: 0.05%, Hit Ratio: 48.33%, Max Drawdown: 0.03%
(30, 1, 1.5, 0, -0.5, 2.5, 3): Return: 0.06%, Hit Ratio: 49.18%, Max Drawdown: 0.03%
(30, 1, 1.5, 0, -0.5, 2.5, 3.5): Return: 0.06%, Hit Ratio: 49.18%, Max Drawdown: 0.03%
(30, 1, 1.5, 0, -0.5, 3, 2.5): Return: 0.07%, Hit Ratio: 50.39%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, -0.5, 3, 3): Return: 0.08%, Hit Ratio: 51.15%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, -0.5, 3, 3.5): Return: 0.08%, Hit Ratio: 51.15%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, -0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 50.38%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, -0.5, 3.5, 3): Return: 0.08%, Hit Ratio: 51.13%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, -0.5, 3.5, 3.5): Return: 0.08%, Hit Ratio: 51.13%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 2.5, 2.5): Return: 0.08%, Hit Ratio: 51.2%, Max Drawdown: 0.03%
(30, 1, 1.5, 0, 0, 2.5, 3): Return: 0.08%, Hit Ratio: 51.97%, Max Drawdown: 0.03%
(30, 1, 1.5, 0, 0, 2.5, 3.5): Return: 0.08%, Hit Ratio: 51.97%, Max Drawdown: 0.03%
(30, 1, 1.5, 0, 0, 3, 2.5): Return: 0.09%, Hit Ratio: 52.24%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 3, 3): Return: 0.09%, Hit Ratio: 52.94%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 3, 3.5): Return: 0.09%, Hit Ratio: 52.94%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 3.5, 2.5): Return: 0.09%, Hit Ratio: 52.21%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 3.5, 3): Return: 0.09%, Hit Ratio: 52.9%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0, 3.5, 3.5): Return: 0.09%, Hit Ratio: 52.9%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0.5, 2.5, 2.5): Return: 0.06%, Hit Ratio: 52.34%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0.5, 2.5, 3): Return: 0.07%, Hit Ratio: 53.08%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0.5, 2.5, 3.5): Return: 0.07%, Hit Ratio: 53.08%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0.5, 3, 2.5): Return: 0.08%, Hit Ratio: 53.28%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0.5, 3, 3): Return: 0.08%, Hit Ratio: 53.96%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0.5, 3, 3.5): Return: 0.08%, Hit Ratio: 53.96%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0.5, 3.5, 2.5): Return: 0.08%, Hit Ratio: 53.96%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0.5, 3.5, 3): Return: 0.08%, Hit Ratio: 54.61%, Max Drawdown: 0.04%
(30, 1, 1.5, 0, 0.5, 3.5, 3.5): Return: 0.08%, Hit Ratio: 54.61%, Max Drawdown: 0.04%
(30, 1, 1.5, 0.5, -0.5, 2.5, 2.5): Return: 0.06%, Hit Ratio: 49.22%, Max Drawdown: 0.03%
(30, 1, 1.5, 0.5, -0.5, 2.5, 3): Return: 0.06%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(30, 1, 1.5, 0.5, -0.5, 2.5, 3.5): Return: 0.06%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(30, 1, 1.5, 0.5, -0.5, 3, 2.5): Return: 0.07%, Hit Ratio: 50.36%, Max Drawdown: 0.04%
(30, 1, 1.5, 0.5, -0.5, 3, 3): Return: 0.08%, Hit Ratio: 51.08%, Max Drawdown: 0.04%
(30, 1, 1.5, 0.5, -0.5, 3, 3.5): Return: 0.08%, Hit Ratio: 51.08%, Max Drawdown: 0.04%
(30, 1, 1.5, 0.5, -0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 50.36%, Max Drawdown: 0.04%
(30, 1, 1.5, 0.5, -0.5, 3.5, 3): Return: 0.08%, Hit Ratio: 51.06%, Max Drawdown: 0.04%
(30, 1, 1.5, 0.5, -0.5, 3.5, 3.5): Return: 0.08%, Hit Ratio: 51.06%, Max Drawdown: 0.04%
(30, 1, 1.5, 0.5, 0, 2.5, 2.5): Return: 0.07%, Hit Ratio: 49.62%, Max Drawdown: 0.03%
(30, 1, 1.5, 0.5, 0, 2.5, 3): Return: 0.07%, Hit Ratio: 50.38%, Max Drawdown: 0.03%
(30, 1, 1.5, 0.5, 0, 2.5, 3.5): Return: 0.07%, Hit Ratio: 50.38%, Max Drawdown: 0.03%
(30, 1, 1.5, 0.5, 0, 3, 2.5): Return: 0.08%, Hit Ratio: 50.71%, Max Drawdown: 0.04%
(30, 1, 1.5, 0.5, 0, 3, 3): Return: 0.09%, Hit Ratio: 51.41%, Max Drawdown: 0.04%
(30, 1, 1.5, 0.5, 0, 3, 3.5): Return: 0.09%, Hit Ratio: 51.41%, Max Drawdown: 0.04%
(30, 1, 1.5, 0.5, 0, 3.5, 2.5): Return: 0.08%, Hit Ratio: 50.7%, Max Drawdown: 0.04%
(30, 1, 1.5, 0.5, 0, 3.5, 3): Return: 0.09%, Hit Ratio: 51.39%, Max Drawdown: 0.04%
