(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1, 1.5, -0.5, -0.5, 3, 3): Return: -1.18%, Hit Ratio: 33.68%, Max Drawdown: 1.41%
(30, 1, 1.5, -0.5, -0.5, 3, 3.5): Return: -1.18%, Hit Ratio: 33.68%, Max Drawdown: 1.41%
(30, 1, 1.5, -0.5, -0.5, 3.5, 2.5): Return: -1.1%, Hit Ratio: 34.04%, Max Drawdown: 1.35%
(30, 1, 1.5, -0.5, -0.5, 3.5, 3): Return: -1.16%, Hit Ratio: 33.68%, Max Drawdown: 1.41%
(30, 1, 1.5, -0.5, -0.5, 3.5, 3.5): Return: -1.16%, Hit Ratio: 33.68%, Max Drawdown: 1.41%
(30, 1, 1.5, -0.5, 0, 2.5, 2.5): Return: -1.58%, Hit Ratio: 34.34%, Max Drawdown: 1.69%
(30, 1, 1.5, -0.5, 0, 2.5, 3): Return: -1.75%, Hit Ratio: 34.0%, Max Drawdown: 1.86%
(30, 1, 1.5, -0.5, 0, 2.5, 3.5): Return: -1.75%, Hit Ratio: 34.0%, Max Drawdown: 1.86%
(30, 1, 1.5, -0.5, 0, 3, 2.5): Return: -1.42%, Hit Ratio: 34.65%, Max Drawdown: 1.79%
(30, 1, 1.5, -0.5, 0, 3, 3): Return: -1.59%, Hit Ratio: 34.31%, Max Drawdown: 1.96%
(30, 1, 1.5, -0.5, 0, 3, 3.5): Return: -1.59%, Hit Ratio: 34.31%, Max Drawdown: 1.96%
(30, 1, 1.5, -0.5, 0, 3.5, 2.5): Return: -1.42%, Hit Ratio: 34.65%, Max Drawdown: 1.79%
(30, 1, 1.5, -0.5, 0, 3.5, 3): Return: -1.59%, Hit Ratio: 34.31%, Max Drawdown: 1.96%
(30, 1, 1.5, -0.5, 0, 3.5, 3.5): Return: -1.59%, Hit Ratio: 34.31%, Max Drawdown: 1.96%
(30, 1, 1.5, -0.5, 0.5, 2.5, 2.5): Return: -1.41%, Hit Ratio: 33.33%, Max Drawdown: 1.49%
(30, 1, 1.5, -0.5, 0.5, 2.5, 3): Return: -1.57%, Hit Ratio: 33.01%, Max Drawdown: 1.65%
