Date,High,Low,Open,Close,Volume,Adj Close
2018-03-26,7.305135659407824e-05,7.274843665072694e-05,7.296074909390882e-05,7.28969243937172e-05,0.0,7.28969243937172e-05
2018-03-27,7.292882219189778e-05,7.266913598868996e-05,7.284912862814963e-05,7.278020348167047e-05,0.0,7.278020348167047e-05
2018-03-28,7.28836384951137e-05,7.262163853738457e-05,7.272198126884177e-05,7.269554771482944e-05,0.0,7.269554771482944e-05
2018-03-29,7.291286601684988e-05,7.262163853738457e-05,7.262163853738457e-05,7.269026536960155e-05,0.0,7.269026536960155e-05
2018-04-01,7.287832704605535e-05,7.253735384438187e-05,7.253735384438187e-05,7.263218867592514e-05,0.0,7.263218867592514e-05
2018-04-02,7.284912862814963e-05,7.260055281221867e-05,7.271140930242836e-05,7.273785013239831e-05,0.0,7.273785013239831e-05
2018-04-03,7.280669524334371e-05,7.256367825902998e-05,7.277490658452734e-05,7.277490658452734e-05,0.0,7.277490658452734e-05
2018-04-04,7.272727089002728e-05,7.250317139551044e-05,7.270083733601496e-05,7.272198126884177e-05,0.0,7.272198126884177e-05
2018-04-05,7.267547334777191e-05,7.254051160998642e-05,7.258474215632305e-05,7.267441833391786e-05,0.0,7.267441833391786e-05
2018-04-08,7.27325605112128e-05,7.253209332702681e-05,7.265857857419178e-05,7.265857857419178e-05,0.0,7.265857857419178e-05
2018-04-09,7.281730358954519e-05,7.259791891556233e-05,7.259791891556233e-05,7.263218867592514e-05,0.0,7.263218867592514e-05
2018-04-10,7.280139834620059e-05,7.264010491780937e-05,7.2769085818436e-05,7.2769085818436e-05,0.0,7.2769085818436e-05
2018-04-11,7.272727089002728e-05,7.25663048797287e-05,7.270876812981442e-05,7.270876812981442e-05,0.0,7.270876812981442e-05
2018-04-12,7.27855003788136e-05,7.258737605297938e-05,7.264274609042332e-05,7.263746374519542e-05,0.0,7.263746374519542e-05
2018-04-15,7.282790465978906e-05,7.254893716890365e-05,7.282790465978906e-05,7.281730358954519e-05,0.0,7.281730358954519e-05
2018-04-16,7.269554771482944e-05,7.257473043864593e-05,7.262163853738457e-05,7.264274609042332e-05,0.0,7.264274609042332e-05
2018-04-17,7.272198126884177e-05,7.259264384629205e-05,7.264274609042332e-05,7.269026536960155e-05,0.0,7.269026536960155e-05
2018-04-18,7.274314702954143e-05,7.226477464428172e-05,7.267441833391786e-05,7.262691360665485e-05,0.0,7.262691360665485e-05
2018-04-19,7.251631905091926e-05,7.168202137108892e-05,7.234058284666389e-05,7.246376480907202e-05,0.0,7.246376480907202e-05
2018-04-22,7.20160169294104e-05,7.150007149903104e-05,7.19320960342884e-05,7.194762292783707e-05,0.0,7.194762292783707e-05
2018-04-23,7.220998668344691e-05,7.151182944653556e-05,7.159682718338445e-05,7.162810652516782e-05,0.0,7.162810652516782e-05
2018-04-24,7.217090023914352e-05,7.169692253228277e-05,7.21240503480658e-05,7.208765600807965e-05,0.0,7.208765600807965e-05
2018-04-25,7.224389264592901e-05,7.170515164034441e-05,7.187522714957595e-05,7.184423884609714e-05,0.0,7.184423884609714e-05
2018-04-26,7.226477464428172e-05,7.173600897658616e-05,7.173600897658616e-05,7.205129804788157e-05,0.0,7.205129804788157e-05
2018-04-29,7.22699987818487e-05,7.182876288425177e-05,7.21240503480658e-05,7.209805335151032e-05,0.0,7.209805335151032e-05
2018-04-30,7.193726924015209e-05,7.148474105633795e-05,7.186231232481077e-05,7.193726924015209e-05,0.0,7.193726924015209e-05
2018-05-01,7.180761167546734e-05,7.145051495172083e-05,7.151797035476193e-05,7.151899626478553e-05,0.0,7.151899626478553e-05
2018-05-02,7.19605668564327e-05,7.1118694904726e-05,7.141581590985879e-05,7.141684181988239e-05,0.0,7.141684181988239e-05
2018-05-03,7.18313385732472e-05,7.150365127017722e-05,7.176432700362056e-05,7.178235682658851e-05,0.0,7.178235682658851e-05
2018-05-06,7.177205407060683e-05,7.119007932487875e-05,7.177205407060683e-05,7.177205407060683e-05,0.0,7.177205407060683e-05
2018-05-07,7.151540921768174e-05,7.00844539096579e-05,7.00844539096579e-05,7.00844539096579e-05,0.0,7.00844539096579e-05
2018-05-08,7.134296174626797e-05,7.079695933498442e-05,7.108785939635709e-05,7.010607077972963e-05,0.0,7.010607077972963e-05
2018-05-09,7.151899626478553e-05,7.05542042851448e-05,7.10580570739694e-05,7.10580570739694e-05,0.0,7.10580570739694e-05
2018-05-10,7.194503268692642e-05,7.087171979947016e-05,7.087171979947016e-05,7.10580570739694e-05,0.0,7.10580570739694e-05
2018-05-13,7.18220544513315e-05,7.109847501851618e-05,7.172057667048648e-05,7.172057667048648e-05,0.0,7.172057667048648e-05
2018-05-14,7.161784742493182e-05,7.076990732457489e-05,7.148984877858311e-05,7.161784742493182e-05,0.0,7.161784742493182e-05
2018-05-15,7.134448969736695e-05,7.081902003847063e-05,7.127584103727713e-05,7.127584103727713e-05,0.0,7.127584103727713e-05
2018-05-16,7.136078056646511e-05,7.06753708072938e-05,7.06753708072938e-05,7.06753708072938e-05,0.0,7.06753708072938e-05
