(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 1, 2, 0, 0.5, 3, 2.5): Return: 4.65%, Hit Ratio: 76.34%, Max Drawdown: 0.5%
(60, 1, 2, 0, 0.5, 3.5, 2.5): Return: 4.65%, Hit Ratio: 76.34%, Max Drawdown: 0.5%
(100, 1, 1.5, 0.5, 0.5, 3.5, 2.5): Return: 4.65%, Hit Ratio: 75.53%, Max Drawdown: 0.43%
(100, 1, 1.5, 0.5, -0.5, 3.5, 2.5): Return: 4.64%, Hit Ratio: 75.0%, Max Drawdown: 0.43%
(30, 1, 1, 0.5, 0.5, 3.5, 2.5): Return: 4.63%, Hit Ratio: 73.11%, Max Drawdown: 0.33%
(30, 1.5, 2, 0.5, -0.5, 3, 3): Return: 4.63%, Hit Ratio: 70.59%, Max Drawdown: 0.39%
(60, 1, 2, 0, -0.5, 3, 2.5): Return: 4.63%, Hit Ratio: 76.83%, Max Drawdown: 0.73%
(60, 1, 2, 0, -0.5, 3.5, 2.5): Return: 4.63%, Hit Ratio: 76.83%, Max Drawdown: 0.73%
(30, 1, 1.5, 0.5, 0, 2.5, 3): Return: 4.62%, Hit Ratio: 66.35%, Max Drawdown: 0.33%
(30, 1.5, 1.5, 0.5, -0.5, 3, 3.5): Return: 4.62%, Hit Ratio: 63.08%, Max Drawdown: 0.35%
(100, 1, 2, 0.5, 0.5, 3.5, 2.5): Return: 4.62%, Hit Ratio: 75.27%, Max Drawdown: 0.43%
(30, 1, 2, 0.5, -0.5, 2.5, 3): Return: 4.61%, Hit Ratio: 67.0%, Max Drawdown: 0.34%
(60, 1, 1.5, 0, -0.5, 3, 3): Return: 4.61%, Hit Ratio: 79.76%, Max Drawdown: 0.73%
(60, 1, 1.5, 0, -0.5, 3.5, 3): Return: 4.61%, Hit Ratio: 79.76%, Max Drawdown: 0.73%
(100, 1, 2, 0.5, -0.5, 3.5, 2.5): Return: 4.61%, Hit Ratio: 74.73%, Max Drawdown: 0.43%
(100, 1, 1.5, 0.5, -0.5, 3, 2.5): Return: 4.6%, Hit Ratio: 74.73%, Max Drawdown: 0.43%
