,date,avg_bid_non_us_before,avg_ask_non_us_before,avg_bid_non_us_at,avg_ask_non_us_at,avg_bid_us_before,avg_ask_us_before,avg_bid_us_at,avg_ask_us_at
96,2016-04-15,109.33,109.333,109.329,109.33200000000001,108.973,108.975,108.959,108.962
97,2016-04-18,108.04899999999999,108.053,108.084,108.087,108.616,108.618,108.609,108.611
98,2016-04-19,109.10700000000001,109.111,109.08,109.084,109.211,109.213,109.212,109.214
99,2016-04-20,109.22200000000001,109.225,109.196,109.2,109.381,109.382,109.382,109.383
100,2016-04-21,109.86399999999999,109.867,109.83,109.833,109.71,109.712,109.70200000000001,109.705
101,2016-04-22,109.454,109.45700000000001,109.477,109.48100000000001,111.321,111.323,111.315,111.318
102,2016-04-25,111.45100000000001,111.454,111.45,111.45200000000001,111.205,111.206,111.189,111.191
103,2016-04-26,111.12200000000001,111.12700000000001,111.11399999999999,111.117,110.93299999999999,110.935,110.946,110.948
104,2016-04-27,111.22399999999999,111.226,111.226,111.229,111.156,111.15700000000001,111.15899999999999,111.161
105,2016-04-28,111.521,111.524,111.53,111.53299999999999,108.574,108.57600000000001,108.56299999999999,108.565
106,2016-04-29,108.084,108.088,108.101,108.105,107.23700000000001,107.24,107.264,107.26700000000001
107,2016-05-02,106.43299999999999,106.43799999999999,106.46700000000001,106.47200000000001,106.689,106.69200000000001,106.66,106.664
108,2016-05-03,106.406,106.411,106.413,106.416,105.993,105.995,106.044,106.046
109,2016-05-04,106.65799999999999,106.661,106.691,106.694,106.531,106.53299999999999,106.535,106.537
110,2016-05-05,106.935,106.939,106.944,106.948,107.053,107.055,107.04,107.042
111,2016-05-06,107.334,107.338,107.36,107.363,106.728,106.73,106.726,106.728
112,2016-05-09,107.368,107.37200000000001,107.336,107.34100000000001,108.375,108.37700000000001,108.346,108.34899999999999
113,2016-05-10,108.367,108.37100000000001,108.37899999999999,108.383,109.03,109.03200000000001,109.005,109.007
114,2016-05-11,109.199,109.20200000000001,109.20700000000001,109.211,108.665,108.669,108.63799999999999,108.64
115,2016-05-12,108.429,108.431,108.428,108.43299999999999,109.054,109.056,109.071,109.073
116,2016-05-13,109.09899999999999,109.103,109.11,109.11399999999999,109.14,109.14299999999999,109.133,109.13600000000001
117,2016-05-16,108.676,108.679,108.666,108.67,108.833,108.835,108.829,108.831
118,2016-05-17,109.09100000000001,109.094,109.07600000000001,109.08,109.238,109.24,109.245,109.24700000000001
119,2016-05-18,108.98899999999999,108.993,109.03399999999999,109.037,109.55,109.552,109.54299999999999,109.545
120,2016-05-19,110.16799999999999,110.171,110.205,110.208,109.97399999999999,109.977,109.959,109.961
121,2016-05-20,109.905,109.90899999999999,109.917,109.919,110.34,110.34200000000001,110.302,110.304
122,2016-05-23,110.022,110.027,110.065,110.069,109.51100000000001,109.51299999999999,109.49700000000001,109.499
123,2016-05-24,109.36399999999999,109.368,109.339,109.34299999999999,109.79700000000001,109.79899999999999,109.802,109.804
124,2016-05-25,110.17299999999999,110.176,110.165,110.167,110.337,110.338,110.355,110.35700000000001
125,2016-05-26,110.131,110.135,110.101,110.105,109.74600000000001,109.749,109.73200000000001,109.734
126,2016-05-27,109.705,109.708,109.676,109.681,109.695,109.698,109.693,109.696
127,2016-05-30,110.773,110.77799999999999,110.759,110.76100000000001,111.165,111.16799999999999,111.15899999999999,111.162
128,2016-05-31,110.844,110.848,110.844,110.84700000000001,111.186,111.18799999999999,111.18299999999999,111.185
129,2016-06-01,110.65299999999999,110.65799999999999,110.64,110.645,109.20100000000001,109.20299999999999,109.204,109.206
130,2016-06-02,109.463,109.46799999999999,109.416,109.42,108.76899999999999,108.771,108.766,108.76799999999999
131,2016-06-03,108.87700000000001,108.88,108.91799999999999,108.921,107.369,107.37200000000001,107.34700000000001,107.34899999999999
132,2016-06-06,106.70700000000001,106.712,106.67299999999999,106.677,107.044,107.046,107.04299999999999,107.045
