China ZNH_1055 Variant1, Return: -0.3%, Hit Ratio: 33.33%, Max Drawdown: 0.46%
China ZNH_1055 Variant2, Return: -0.94%, Hit Ratio: 37.5%, Max Drawdown: 1.9%
China ZNH_1055 Variant3a, Return: -0.54%, Hit Ratio: 61.54%, Max Drawdown: 1.02%
China ZNH_1055 Variant3b, Return: -0.4%, Hit Ratio: 50.0%, Max Drawdown: 0.57%
Japan CAJ_7751 Variant1, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Japan CAJ_7751 Variant2, Return: 0.08%, Hit Ratio: 57.14%, Max Drawdown: 0.41%
Japan CAJ_7751 Variant3a, Return: -0.37%, Hit Ratio: 76.92%, Max Drawdown: 1.27%
Japan CAJ_7751 Variant3b, Return: -0.58%, Hit Ratio: 50.0%, Max Drawdown: 1.09%
Japan HMC_7267 Variant1, Return: -0.49%, Hit Ratio: 16.67%, Max Drawdown: 0.63%
Japan HMC_7267 Variant2, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Japan HMC_7267 Variant3a, Return: 0.31%, Hit Ratio: 80.0%, Max Drawdown: 0.26%
Japan HMC_7267 Variant3b, Return: -0.37%, Hit Ratio: 66.67%, Max Drawdown: 0.55%
Japan IX_8591 Variant1, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Japan IX_8591 Variant2, Return: -0.62%, Hit Ratio: 33.33%, Max Drawdown: 1.43%
Japan IX_8591 Variant3a, Return: -0.62%, Hit Ratio: 50.0%, Max Drawdown: 1.55%
Japan IX_8591 Variant3b, Return: -0.51%, Hit Ratio: 40.0%, Max Drawdown: 0.6%
Japan MFG_8411 Variant1, Return: -0.11%, Hit Ratio: 0.0%, Max Drawdown: 0.12%
Japan MFG_8411 Variant2, Return: 0.03%, Hit Ratio: 54.55%, Max Drawdown: 1.12%
Japan MFG_8411 Variant3a, Return: -0.82%, Hit Ratio: 47.37%, Max Drawdown: 1.77%
Japan MFG_8411 Variant3b, Return: -0.86%, Hit Ratio: 35.0%, Max Drawdown: 1.75%
Japan MUFG_8306 Variant1, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Japan MUFG_8306 Variant2, Return: -0.37%, Hit Ratio: 50.0%, Max Drawdown: 1.53%
Japan MUFG_8306 Variant3a, Return: -1.72%, Hit Ratio: 30.77%, Max Drawdown: 2.12%
Japan MUFG_8306 Variant3b, Return: -0.39%, Hit Ratio: 47.06%, Max Drawdown: 1.01%
Japan NMR_8604 Variant1, Return: -0.11%, Hit Ratio: 0.0%, Max Drawdown: 0.12%
Japan NMR_8604 Variant2, Return: 0.14%, Hit Ratio: 50.0%, Max Drawdown: 0.31%
Japan NMR_8604 Variant3a, Return: -0.33%, Hit Ratio: 64.29%, Max Drawdown: 0.73%
Japan NMR_8604 Variant3b, Return: 0.05%, Hit Ratio: 100.0%, Max Drawdown: 0.03%
Japan SMFG_8316 Variant1, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Japan SMFG_8316 Variant2, Return: -0.52%, Hit Ratio: 38.1%, Max Drawdown: 1.4%
Japan SMFG_8316 Variant3a, Return: -0.57%, Hit Ratio: 58.33%, Max Drawdown: 0.95%
Japan SMFG_8316 Variant3b, Return: -0.38%, Hit Ratio: 63.64%, Max Drawdown: 1.02%
Japan SONY_6758 Variant1, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Japan SONY_6758 Variant2, Return: -0.32%, Hit Ratio: 40.0%, Max Drawdown: 1.15%
Japan SONY_6758 Variant3a, Return: 0.04%, Hit Ratio: 100.0%, Max Drawdown: 0.15%
Japan SONY_6758 Variant3b, Return: -0.06%, Hit Ratio: 50.0%, Max Drawdown: 0.2%
Japan TAK_4502 Variant1, Return: -1.79%, Hit Ratio: 0.0%, Max Drawdown: 1.99%
Japan TAK_4502 Variant2, Return: -0.89%, Hit Ratio: 39.13%, Max Drawdown: 1.56%
Japan TAK_4502 Variant3a, Return: -2.02%, Hit Ratio: 36.36%, Max Drawdown: 2.22%
Japan TAK_4502 Variant3b, Return: -2.38%, Hit Ratio: 27.27%, Max Drawdown: 2.56%
Japan TM_7203 Variant1, Return: -0.12%, Hit Ratio: 0.0%, Max Drawdown: 0.15%
Japan TM_7203 Variant2, Return: 0.1%, Hit Ratio: 60.0%, Max Drawdown: 0.23%
Japan TM_7203 Variant3a, Return: -0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.23%
Japan TM_7203 Variant3b, Return: -0.03%, Hit Ratio: 66.67%, Max Drawdown: 0.55%
