(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1.5, 1, -0.5, 0, 3, 3.5): Return: 10.15%, Hit Ratio: 73.53%, Max Drawdown: 1.26%
(30, 1.5, 1, -0.5, 0, 3.5, 3.5): Return: 10.15%, Hit Ratio: 73.53%, Max Drawdown: 1.26%
(30, 2, 1, 0.5, 0.5, 2.5, 3): Return: 10.15%, Hit Ratio: 70.15%, Max Drawdown: 1.1%
(30, 2, 1, 0.5, 0.5, 3, 3.5): Return: 10.14%, Hit Ratio: 70.0%, Max Drawdown: 1.1%
(30, 2, 1, 0.5, 0.5, 3.5, 3.5): Return: 10.14%, Hit Ratio: 70.0%, Max Drawdown: 1.1%
(100, 2, 1, -0.5, -0.5, 2.5, 2.5): Return: 10.09%, Hit Ratio: 76.19%, Max Drawdown: 0.88%
(100, 2, 1, -0.5, -0.5, 3, 2.5): Return: 10.09%, Hit Ratio: 76.19%, Max Drawdown: 0.88%
(100, 2, 1, -0.5, -0.5, 3.5, 2.5): Return: 10.09%, Hit Ratio: 76.19%, Max Drawdown: 0.88%
(30, 1.5, 1, 0, 0, 3, 3.5): Return: 10.08%, Hit Ratio: 71.83%, Max Drawdown: 1.26%
(30, 1.5, 1, 0, 0, 3.5, 3.5): Return: 10.08%, Hit Ratio: 71.83%, Max Drawdown: 1.26%
(100, 1.5, 1, 0.5, -0.5, 2.5, 3): Return: 10.08%, Hit Ratio: 68.63%, Max Drawdown: 1.13%
(100, 1.5, 1, 0.5, -0.5, 3, 3): Return: 10.08%, Hit Ratio: 68.63%, Max Drawdown: 1.13%
(100, 1.5, 1, 0.5, -0.5, 3.5, 3): Return: 10.08%, Hit Ratio: 68.63%, Max Drawdown: 1.13%
(100, 2, 1, 0, -0.5, 2.5, 3.5): Return: 10.08%, Hit Ratio: 66.0%, Max Drawdown: 0.7%
(100, 2, 1, 0, -0.5, 3, 3.5): Return: 10.08%, Hit Ratio: 66.0%, Max Drawdown: 0.7%
(100, 2, 1, 0, -0.5, 3.5, 3.5): Return: 10.08%, Hit Ratio: 66.0%, Max Drawdown: 0.7%
(30, 2, 1, 0, -0.5, 2.5, 3.5): Return: 10.06%, Hit Ratio: 73.21%, Max Drawdown: 1.1%
(100, 1.5, 1, 0, 0, 2.5, 3.5): Return: 10.05%, Hit Ratio: 67.27%, Max Drawdown: 1.13%
(100, 1.5, 1, 0, 0, 3, 3.5): Return: 10.05%, Hit Ratio: 67.27%, Max Drawdown: 1.13%
(100, 1.5, 1, 0, 0, 3.5, 3.5): Return: 10.05%, Hit Ratio: 67.27%, Max Drawdown: 1.13%
(60, 2, 1, 0, -0.5, 2.5, 3): Return: 10.03%, Hit Ratio: 69.09%, Max Drawdown: 1.22%
(60, 1.5, 1, 0, 0, 2.5, 3.5): Return: 10.02%, Hit Ratio: 68.25%, Max Drawdown: 1.21%
(60, 2, 1, 0, -0.5, 3, 3): Return: 9.99%, Hit Ratio: 69.09%, Max Drawdown: 1.25%
(60, 2, 1, 0, -0.5, 3.5, 3): Return: 9.99%, Hit Ratio: 69.09%, Max Drawdown: 1.25%
(60, 1.5, 1, 0, 0, 3, 3.5): Return: 9.98%, Hit Ratio: 68.25%, Max Drawdown: 1.23%
(60, 1.5, 1, 0, 0, 3.5, 3.5): Return: 9.98%, Hit Ratio: 68.25%, Max Drawdown: 1.23%
(30, 2, 1, -0.5, 0, 3, 3): Return: 9.96%, Hit Ratio: 76.19%, Max Drawdown: 1.1%
(30, 2, 1, -0.5, 0, 3.5, 3): Return: 9.96%, Hit Ratio: 76.19%, Max Drawdown: 1.1%
(30, 2, 1, -0.5, -0.5, 3, 3): Return: 9.95%, Hit Ratio: 74.51%, Max Drawdown: 1.1%
