,Date,rates_US
69,2017-08-23,1.0
70,2017-08-24,1.0
71,2017-08-25,1.0
72,2017-08-26,1.0
73,2017-08-27,1.0
74,2017-08-28,1.0
75,2017-08-29,1.0
76,2017-08-30,1.0
77,2017-08-31,1.0
78,2017-09-01,1.0
79,2017-09-02,1.0
80,2017-09-03,1.0
81,2017-09-04,1.0
82,2017-09-05,1.0
83,2017-09-06,1.0
84,2017-09-07,1.0
85,2017-09-08,1.0
86,2017-09-09,1.0
87,2017-09-10,1.0
88,2017-09-11,1.0
89,2017-09-12,1.0
90,2017-09-13,1.0
91,2017-09-14,1.0
92,2017-09-15,1.0
93,2017-09-16,1.0
94,2017-09-17,1.0
95,2017-09-18,1.0
96,2017-09-19,1.0
97,2017-09-20,1.0
98,2017-09-21,1.0
99,2017-09-22,1.0
100,2017-09-23,1.0
101,2017-09-24,1.0
102,2017-09-25,1.0
103,2017-09-26,1.0
104,2017-09-27,1.0
105,2017-09-28,1.0
106,2017-09-29,1.0
107,2017-09-30,1.0
108,2017-10-01,1.0
109,2017-10-02,1.0
110,2017-10-03,1.0
111,2017-10-04,1.0
112,2017-10-05,1.0
113,2017-10-06,1.0
114,2017-10-07,1.0
115,2017-10-08,1.0
116,2017-10-09,1.0
117,2017-10-10,1.0
118,2017-10-11,1.0
119,2017-10-12,1.0
120,2017-10-13,1.0
121,2017-10-14,1.0
122,2017-10-15,1.0
123,2017-10-16,1.0
124,2017-10-17,1.0
125,2017-10-18,1.0
126,2017-10-19,1.0
127,2017-10-20,1.0
128,2017-10-21,1.0
129,2017-10-22,1.0
130,2017-10-23,1.0
131,2017-10-24,1.0
132,2017-10-25,1.0
133,2017-10-26,1.0
134,2017-10-27,1.0
135,2017-10-28,1.0
136,2017-10-29,1.0
137,2017-10-30,1.0
138,2017-10-31,1.0
139,2017-11-01,1.0
140,2017-11-02,1.0
141,2017-11-03,1.0
142,2017-11-04,1.0
143,2017-11-05,1.0
144,2017-11-06,1.0
145,2017-11-07,1.0
146,2017-11-08,1.0
147,2017-11-09,1.0
148,2017-11-10,1.0
149,2017-11-11,1.0
150,2017-11-12,1.0
151,2017-11-13,1.0
152,2017-11-14,1.0
153,2017-11-15,1.0
154,2017-11-16,1.0
155,2017-11-17,1.0
156,2017-11-18,1.0
157,2017-11-19,1.0
158,2017-11-20,1.0
159,2017-11-21,1.0
160,2017-11-22,1.0
161,2017-11-23,1.0
162,2017-11-24,1.0
163,2017-11-25,1.0
164,2017-11-26,1.0
165,2017-11-27,1.0
166,2017-11-28,1.0
167,2017-11-29,1.0
168,2017-11-30,1.0
169,2017-12-01,1.0
170,2017-12-02,1.0
171,2017-12-03,1.0
172,2017-12-04,1.0
173,2017-12-05,1.0
174,2017-12-06,1.0
175,2017-12-07,1.0
176,2017-12-08,1.0
177,2017-12-09,1.0
178,2017-12-10,1.0
179,2017-12-11,1.0
180,2017-12-12,1.0
181,2017-12-13,1.0
0,2017-12-14,1.25
1,2017-12-15,1.25
2,2017-12-16,1.25
3,2017-12-17,1.25
4,2017-12-18,1.25
5,2017-12-19,1.25
6,2017-12-20,1.25
7,2017-12-21,1.25
8,2017-12-22,1.25
9,2017-12-23,1.25
10,2017-12-24,1.25
11,2017-12-25,1.25
12,2017-12-26,1.25
13,2017-12-27,1.25
14,2017-12-28,1.25
15,2017-12-29,1.25
16,2017-12-30,1.25
17,2017-12-31,1.25
18,2018-01-01,1.25
19,2018-01-02,1.25
20,2018-01-03,1.25
21,2018-01-04,1.25
22,2018-01-05,1.25
23,2018-01-06,1.25
24,2018-01-07,1.25
25,2018-01-08,1.25
26,2018-01-09,1.25
27,2018-01-10,1.25
28,2018-01-11,1.25
29,2018-01-12,1.25
30,2018-01-13,1.25
31,2018-01-14,1.25
32,2018-01-15,1.25
33,2018-01-16,1.25
34,2018-01-17,1.25
35,2018-01-18,1.25
36,2018-01-19,1.25
37,2018-01-20,1.25
38,2018-01-21,1.25
39,2018-01-22,1.25
40,2018-01-23,1.25
41,2018-01-24,1.25
42,2018-01-25,1.25
43,2018-01-26,1.25
44,2018-01-27,1.25
45,2018-01-28,1.25
46,2018-01-29,1.25
47,2018-01-30,1.25
48,2018-01-31,1.25
49,2018-02-01,1.25
50,2018-02-02,1.25
51,2018-02-03,1.25
52,2018-02-04,1.25
53,2018-02-05,1.25
54,2018-02-06,1.25
55,2018-02-07,1.25
56,2018-02-08,1.25
57,2018-02-09,1.25
58,2018-02-10,1.25
59,2018-02-11,1.25
60,2018-02-12,1.25
61,2018-02-13,1.25
62,2018-02-14,1.25
63,2018-02-15,1.25
64,2018-02-16,1.25
65,2018-02-17,1.25
66,2018-02-18,1.25
67,2018-02-19,1.25
68,2018-02-20,1.25
69,2018-02-21,1.25
70,2018-02-22,1.25
71,2018-02-23,1.25
72,2018-02-24,1.25
73,2018-02-25,1.25
74,2018-02-26,1.25
75,2018-02-27,1.25
76,2018-02-28,1.25
77,2018-03-01,1.25
78,2018-03-02,1.25
79,2018-03-03,1.25
80,2018-03-04,1.25
81,2018-03-05,1.25
82,2018-03-06,1.25
83,2018-03-07,1.25
84,2018-03-08,1.25
85,2018-03-09,1.25
86,2018-03-10,1.25
87,2018-03-11,1.25
88,2018-03-12,1.25
89,2018-03-13,1.25
90,2018-03-14,1.25
91,2018-03-15,1.25
92,2018-03-16,1.25
93,2018-03-17,1.25
94,2018-03-18,1.25
95,2018-03-19,1.25
96,2018-03-20,1.25
97,2018-03-21,1.25
0,2018-03-22,1.5
1,2018-03-23,1.5
2,2018-03-24,1.5
3,2018-03-25,1.5
4,2018-03-26,1.5
5,2018-03-27,1.5
6,2018-03-28,1.5
7,2018-03-29,1.5
8,2018-03-30,1.5
9,2018-03-31,1.5
