(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 1, 1.5, -0.5, -0.5, 3, 2.5): Return: 0.06%, Hit Ratio: 50.96%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 3, 3): Return: 0.06%, Hit Ratio: 51.43%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 3, 3.5): Return: 0.06%, Hit Ratio: 51.43%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 50.94%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 51.4%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, -0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 51.4%, Max Drawdown: 0.03%
(100, 1, 1.5, 0, 0, 2.5, 2.5): Return: 0.06%, Hit Ratio: 44.14%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0, 3, 2.5): Return: 0.06%, Hit Ratio: 42.86%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0, 3.5, 2.5): Return: 0.06%, Hit Ratio: 42.98%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0.5, 2.5, 2.5): Return: 0.06%, Hit Ratio: 46.09%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0.5, 2.5, 3): Return: 0.06%, Hit Ratio: 46.55%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0.5, 2.5, 3.5): Return: 0.06%, Hit Ratio: 47.01%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0.5, 3, 2.5): Return: 0.06%, Hit Ratio: 44.83%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0.5, 3, 3): Return: 0.06%, Hit Ratio: 45.3%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0.5, 3, 3.5): Return: 0.06%, Hit Ratio: 45.76%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 44.92%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 45.38%, Max Drawdown: 0.04%
(100, 1, 1.5, 0, 0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 45.83%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0, 2.5, 2.5): Return: 0.06%, Hit Ratio: 44.44%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0, 3, 2.5): Return: 0.06%, Hit Ratio: 43.22%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0, 3.5, 2.5): Return: 0.06%, Hit Ratio: 43.33%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 2.5, 3): Return: 0.06%, Hit Ratio: 48.74%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 2.5, 3.5): Return: 0.06%, Hit Ratio: 49.17%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 3, 3): Return: 0.06%, Hit Ratio: 47.5%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 3, 3.5): Return: 0.06%, Hit Ratio: 47.93%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 47.54%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 47.97%, Max Drawdown: 0.04%
(100, 1, 2, -0.5, -0.5, 2.5, 2.5): Return: 0.06%, Hit Ratio: 49.5%, Max Drawdown: 0.02%
(100, 1, 2, 0, -0.5, 2.5, 3.5): Return: 0.06%, Hit Ratio: 47.27%, Max Drawdown: 0.02%
(100, 1, 2, 0, -0.5, 3, 3): Return: 0.06%, Hit Ratio: 46.85%, Max Drawdown: 0.02%
(100, 1, 2, 0, -0.5, 3, 3.5): Return: 0.06%, Hit Ratio: 46.85%, Max Drawdown: 0.02%
(100, 1, 2, 0, -0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 46.9%, Max Drawdown: 0.02%
(100, 1, 2, 0, -0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 46.9%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0, 2.5, 2.5): Return: 0.06%, Hit Ratio: 44.04%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0, 2.5, 3): Return: 0.06%, Hit Ratio: 44.55%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0, 3, 2.5): Return: 0.06%, Hit Ratio: 42.73%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0, 3, 3): Return: 0.06%, Hit Ratio: 43.24%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0, 3.5, 2.5): Return: 0.06%, Hit Ratio: 42.86%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0, 3.5, 3): Return: 0.06%, Hit Ratio: 43.36%, Max Drawdown: 0.02%
(100, 1, 2, 0, 0.5, 2.5, 3): Return: 0.06%, Hit Ratio: 46.49%, Max Drawdown: 0.01%
(100, 1, 2, 0, 0.5, 2.5, 3.5): Return: 0.06%, Hit Ratio: 46.96%, Max Drawdown: 0.01%
(100, 1, 2, 0, 0.5, 3, 2.5): Return: 0.06%, Hit Ratio: 44.74%, Max Drawdown: 0.01%
(100, 1, 2, 0, 0.5, 3, 3): Return: 0.06%, Hit Ratio: 45.22%, Max Drawdown: 0.01%
(100, 1, 2, 0, 0.5, 3, 3.5): Return: 0.06%, Hit Ratio: 45.69%, Max Drawdown: 0.01%
(100, 1, 2, 0, 0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 44.83%, Max Drawdown: 0.01%
(100, 1, 2, 0, 0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 45.3%, Max Drawdown: 0.01%
(100, 1, 2, 0, 0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 45.76%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, -0.5, 2.5, 3): Return: 0.06%, Hit Ratio: 46.55%, Max Drawdown: 0.01%
