(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 1.5, 2, -0.5, 0, 3.5, 3.5): Return: 8.42%, Hit Ratio: 85.71%, Max Drawdown: 1.21%
(30, 1.5, 2, -0.5, 0.5, 3, 3): Return: 8.42%, Hit Ratio: 80.56%, Max Drawdown: 1.21%
(30, 1.5, 2, -0.5, 0.5, 3, 3.5): Return: 8.42%, Hit Ratio: 80.56%, Max Drawdown: 1.21%
(30, 1.5, 2, -0.5, 0.5, 3.5, 3): Return: 8.42%, Hit Ratio: 80.56%, Max Drawdown: 1.21%
(30, 1.5, 2, -0.5, 0.5, 3.5, 3.5): Return: 8.42%, Hit Ratio: 80.56%, Max Drawdown: 1.21%
(30, 2, 1.5, -0.5, 0, 2.5, 2.5): Return: 8.42%, Hit Ratio: 82.86%, Max Drawdown: 1.14%
(30, 2, 1.5, -0.5, 0.5, 2.5, 2.5): Return: 8.42%, Hit Ratio: 81.08%, Max Drawdown: 1.14%
(30, 2, 2, -0.5, 0, 3, 2.5): Return: 8.42%, Hit Ratio: 100.0%, Max Drawdown: 1.14%
(30, 2, 2, -0.5, 0, 3.5, 2.5): Return: 8.42%, Hit Ratio: 100.0%, Max Drawdown: 1.14%
(30, 2, 2, -0.5, 0.5, 3, 2.5): Return: 8.42%, Hit Ratio: 88.89%, Max Drawdown: 1.14%
(30, 2, 2, -0.5, 0.5, 3.5, 2.5): Return: 8.42%, Hit Ratio: 88.89%, Max Drawdown: 1.14%
(30, 1.5, 1.5, -0.5, 0, 2.5, 3): Return: 8.41%, Hit Ratio: 77.78%, Max Drawdown: 1.21%
(30, 1.5, 1.5, -0.5, 0, 2.5, 3.5): Return: 8.41%, Hit Ratio: 77.78%, Max Drawdown: 1.21%
(30, 1.5, 1.5, -0.5, 0.5, 2.5, 3): Return: 8.41%, Hit Ratio: 76.6%, Max Drawdown: 1.21%
(30, 1.5, 1.5, -0.5, 0.5, 2.5, 3.5): Return: 8.41%, Hit Ratio: 76.6%, Max Drawdown: 1.21%
(30, 1.5, 2, -0.5, 0, 2.5, 3): Return: 8.39%, Hit Ratio: 85.29%, Max Drawdown: 1.21%
(30, 1.5, 2, -0.5, 0, 2.5, 3.5): Return: 8.39%, Hit Ratio: 85.29%, Max Drawdown: 1.21%
(30, 1.5, 2, -0.5, 0.5, 2.5, 3): Return: 8.39%, Hit Ratio: 80.0%, Max Drawdown: 1.21%
(30, 1.5, 2, -0.5, 0.5, 2.5, 3.5): Return: 8.39%, Hit Ratio: 80.0%, Max Drawdown: 1.21%
(30, 2, 2, -0.5, 0, 2.5, 2.5): Return: 8.39%, Hit Ratio: 100.0%, Max Drawdown: 1.14%
(30, 2, 2, -0.5, 0.5, 2.5, 2.5): Return: 8.39%, Hit Ratio: 88.24%, Max Drawdown: 1.14%
(60, 1, 1, 0.5, 0.5, 3, 3): Return: 8.16%, Hit Ratio: 79.73%, Max Drawdown: 3.15%
(60, 1, 1, 0.5, 0.5, 3.5, 3): Return: 8.16%, Hit Ratio: 79.73%, Max Drawdown: 3.15%
