"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"MT","ArcelorMittal ADRs","Luxembourg","NA:MT","Nyse Euronext - Euronext Amsterdam","Materials","$32,367,466,808","-44.16","0.66","0.85","1.03%","8,061,063","Analyze"
"NWG","NatWest Group plc ADRs","United Kingdom","LN:RBS","London Stock Exchange","Financials","$31,428,393,187","24.22","2.05","0.72","1.54%","1,847,648","Analyze"
"BGNE","BeiGene ADRs","China","HK:6160","Hong Kong Exchange","Health Care","$31,342,405,037","-19.63","101.47","8.10","0.00%","310,813","Analyze"
"CAJ","Canon Inc ADRs","Japan","JT:7751","Tokyo Stock Exchange","Information Technology","$30,529,845,691","31.70","1.08","0.01","3.19%","231,564","Analyze"
"CHT","Chunghwa Telecom Co Ltd ADRs","Taiwan","TT:2412","Taiwan Stock Exchange","Communication Services","$30,354,888,350","25.91","4.85","0.08","3.67%","130,350","Analyze"
"BNTX","BioNTech SE  ADRs","Germany","PRIVATE","","Health Care","$27,418,253,425","0.00","48.26","19.99","0.00%","1,397,992","Analyze"
"EC","Ecopetrol ADRs","Colombia","CX:ECOPETROL","Bolsa De Valores De Colombia","Energy","$26,376,359,650","6.00","1.93","0.00","6.92%","1,173,373","Analyze"
"CS","Credit Suisse Group AG ADRs","Switzerland","VX:CSGN","Six Swiss - Blue Chips Segment","Financials","$26,190,900,604","9.48","1.20","0.61","1.39%","7,827,237","Analyze"
"RYAAY","Ryanair Holdings PLC ADRs","Ireland","ID:RY4C","Irish Stock Exchange - All Market","Industrials","$26,103,004,930","16.87","13.49","5.59","0.00%","523,496","Analyze"
"BSBR","Banco Santander Brasil ADRs","Brazil","BS:SANB11","XBSP","Financials","$25,382,530,820","10.78","3.41","0.24","2.81%","1,431,688","Analyze"
"TEF","Telefonica SA ADRs","Spain","SM:TEF","Bolsa De Madrid","Communication Services","$25,034,732,711","16.06","0.49","2.23","9.83%","1,501,416","Analyze"
"PKX","POSCO ADRs","South Korea","KP:005490","Korea Exchange (Stock Market)","Materials","$24,963,334,597","16.10","0.49","0.00","0.62%","263,654","Analyze"
"EDU","New Oriental Education & Technology ADRs","China","PRIVATE","","Consumer Discretionary","$24,856,173,615","65.50","6.91","5.28","0.00%","19,909,298","Analyze"
"TCOM","Trip.com Group Limited ADRs","China","PRIVATE","","Consumer Discretionary","$23,805,819,524","64.71","8.53","0.24","0.00%","5,503,534","Analyze"
"TLK","Telekomunikasi Indonesia Persero Tbk PT ADRs","Indonesia","IJ:TLKM","Indonesia Stock Exchange","Communication Services","$23,388,589,339","18.16","2.59","0.00","4.44%","194,043","Analyze"
"ITUB","Itau Unibanco Holding SA ADRs of Preferred Shares","Brazil","BS:ITUB4","XBSP","Financials","$23,114,680,598","14.32","1.46","0.16","1.66%","46,093,531","Analyze"
"UMC","United Microelectronics Corp ADRs","Taiwan","TT:2303","Taiwan Stock Exchange","Information Technology","$23,009,838,260","22.59","3.65","0.10","1.47%","5,769,844","Analyze"
"NOK","Nokia OYJ ADRs","Finland","FH:NOKIA","Nasdaq Omx Helsinki Ltd.","Information Technology","$22,701,844,636","25.17","0.88","1.81","5.58%","38,604,837","Analyze"
"LI","Li Auto Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$22,664,286,880","0.00","15.74","0.62","0.00%","14,619,638","Analyze"
"TAL","TAL Education Group ADRs","China","PRIVATE","","Consumer Discretionary","$22,496,045,407","-353.40","5.76","5.27","0.00%","7,776,612","Analyze"
"IX","Orix ADRs","Japan","JT:8591","Tokyo Stock Exchange","Financials","$21,661,886,039","11.53","1.20","0.01","0.82%","25,077","Analyze"
"GMAB","Genmab A/S  ADRs","Denmark","DC:GEN","Omx Nordic Exchange Copenhagen A/S","Health Care","$21,604,463,867","26.59","0.00","1.13","0.00%","696,319","Analyze"
"FMS","Fresenius Medical Care AG  ADRs","Germany","GF:FME","Frankfurt Stock Exchange","Health Care","$21,497,140,238","15.75","1.02","1.92","1.95%","372,291","Analyze"
"KB","KB Financial Group Inc ADRs","South Korea","KP:105560","Korea Exchange (Stock Market)","Financials","$20,095,996,774","6.30","0.90","0.00","3.16%","283,750","Analyze"
"SKM","SK Telecom Co Ltd ADRs","South Korea","KP:017670","Korea Exchange (Stock Market)","Communication Services","$19,991,830,586","13.73","1.20","0.00","0.34%","370,627","Analyze"
"ZTO","ZTO Express ADRs of Class A","China","PRIVATE","","Industrials","$19,540,953,562","36.53","5.09","0.40","1.00%","4,571,196","Analyze"
"HTHT","Huazhu Group Limited ADRs","China","PRIVATE","","Consumer Discretionary","$18,189,084,035","79.24","11.71","1.61","0.66%","1,637,256","Analyze"
"VIPS","Vipshop Holdings Ltd ADRs","China","PRIVATE","","Consumer Discretionary","$17,966,979,039","23.15","1.16","0.63","0.00%","25,298,826","Analyze"
"XPEV","XPeng Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$17,945,526,194","0.00","19.40","0.52","0.00%","22,990,754","Analyze"
"ASX","Advanced Semiconductor Engineering Inc ADRs","Taiwan","TT:3711","Taiwan Stock Exchange","Financials","$17,337,443,860","18.03","1.04","0.08","1.71%","3,030,457","Analyze"
"NMR","Nomura Holdings Inc ADRs","Japan","JT:8604","Tokyo Stock Exchange","Financials","$17,331,895,541","6.74","1.38","0.01","3.57%","754,047","Analyze"
"SHG","Shinhan Financial Group Co Ltd ADRs","South Korea","KP:055550","Korea Exchange (Stock Market)","Financials","$17,016,789,309","5.61","0.71","0.00","3.94%","165,968","Analyze"
"SNN","Smith & Nephew PLC ADRs","United Kingdom","LN:SN","London Stock Exchange","Financials","$16,782,299,642","40.01","2.10","3.18","0.75%","475,335","Analyze"
"FMX","Fomento Economico Mexicano SAB de CV ADRs","Mexico","MM:FEMSAUBD","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Consumer Staples","$16,612,973,518","32.92","0.54","0.07","1.89%","466,269","Analyze"
"SUZ","Suzano Papel e Celulose S.A. ADRs","Brazil","BS:SUZB3","XBSP","Materials","$16,512,127,274","38.08","3.05","2.28","0.81%","616,664","Analyze"
"WPP","WPP PLC ADRs","Australia","LN:WPP","London Stock Exchange","Communication Services","$15,871,746,827","0.00","0.57","3.27","4.64%","109,450","Analyze"
"LFC","China Life Insurance Co Ltd ADRs","China","HK:2628","Hong Kong Exchange","Financials","$15,522,291,050","7.75","0.29","0.03","4.95%","582,934","Analyze"
"GDS","GDS Holdings ADRs","China","PRIVATE","","Information Technology","$14,729,160,403","0.00","22.19","0.55","0.00%","1,560,272","Analyze"
"ARGX","argenx SE ADRs","The Netherlands","NA:ARGX","Nyse Euronext - Euronext Amsterdam","Health Care","$14,486,652,040","0.00","274.54","10.62","0.00%","190,267","Analyze"
"JHX","James Hardie Industries ADRs","Australia","AT:JHX","Asx - All Markets","Materials","$14,163,929,303","82.78","5.19","11.08","0.00%","27,503","Analyze"
"NICE","Nice Ltd ADRs","Israel","IT:NICE","Tel Aviv Stock Exchange","Information Technology","$14,147,434,950","71.93","8.58","5.52","7.34%","300,468","Analyze"
"TTM","Tata Motors Ltd ADRs","India","IS:TATAMOTORS","National Stock Exchange Of India","Consumer Discretionary","$13,965,214,460","10.68","0.43","2.50","1.44%","1,271,570","Analyze"
"SNP","China Petroleum & Chemical Corp ADRs","China","HK:0386","Hong Kong Exchange","Energy","$13,705,819,216","12.79","0.03","0.02","6.80%","154,125","Analyze"
"TS","Tenaris SA ADRs","Argentina","IM:TEN","Borsa Italiana S.P.A.","Energy","$13,658,811,123","-21.53","2.95","1.21","0.61%","2,032,121","Analyze"
"KEP","Korea Electric Power Corp ADRs","South Korea","KP:015760","Korea Exchange (Stock Market)","Utilities","$13,352,852,802","7.60","0.27","0.00","10.46%","204,072","Analyze"
"VIV","Telefonica Brasil S.A. ADRs","Brazil","BS:VIVT3","XBSP","Communication Services","$13,122,043,002","15.90","1.74","0.19","0.95%","1,783,021","Analyze"
"TUYA","Tuya Inc. ADRs of class A","China","PRIVATE","","Information Technology","$13,064,798,208","0.00","0.00","0.00","0.00%","5,867,349","Analyze"
"ENIA","Enel Americas SA ADRs","Chile","CC:ENELAM","Santiago Stock Exchange","Utilities","$12,889,021,092","15.62","1.15","1.68","5.85%","2,385,141","Analyze"
"IHG","InterContinental Hotels Group PLC ADRs","United Kingdom","LN:IHG","London Stock Exchange","Consumer Discretionary","$12,819,645,351","-65.57","3.50","-6.90","0.00%","100,408","Analyze"
"TEVA","Teva Pharmaceutical Industries Ltd ADRs","Israel","IT:TEVA","Tel Aviv Stock Exchange","Health Care","$12,538,329,800","-3.14","0.75","1.25","0.00%","8,601,621","Analyze"
"IQ","iQIYI Inc. ADRs","China","PRIVATE","","Communication Services","$12,135,551,468","26.45","2.68","0.68","0.00%","30,589,399","Analyze"
"OZON","Ozon Holdings PLC ADRs","Russia","PRIVATE","","Consumer Discretionary","$12,075,769,882","0.00","9.65","0.15","0.00%","1,013,362","Analyze"
"ATHM","Autohome Inc. ADRs","China","PRIVATE","","Communication Services","$12,013,765,864","22.04","9.11","0.68","1.72%","1,231,218","Analyze"
"BCH","Banco de Chile ADRs","Chile","CC:CHILE","Santiago Stock Exchange","Financials","$11,945,269,852","13.14","4.60","0.00","2.50%","90,842","Analyze"
"VEDL","Vedanta Ltd ADRs","India","IS:VEDL","National Stock Exchange Of India","Materials","$11,811,392,324","10.03","1.04","0.02","4.01%","1,034,481","Analyze"
"BSAC","Banco Santander Chile ADRs","Chile","CC:BSANTANDER","Santiago Stock Exchange","Financials","$11,650,681,789","12.37","4.01","0.00","1.64%","450,651","Analyze"
"ZLAB","Zai Lab Limited ADRs","China","PRIVATE","","Health Care","$11,602,053,239","-47.32","159.33","9.92","0.00%","442,215","Analyze"
"FUTU","Futu Holdings Limited ADRs","China","PRIVATE","","Financials","$11,330,683,392","118.43","33.69","1.36","0.00%","12,936,260","Analyze"
"NTCO","Natura &Co Holding S.A. ADRs","Brazil","BS:NTCO3","XBSP","Consumer Staples","$11,322,992,872","195.97","1.78","0.41","0.00%","508,791","Analyze"
"WB","Weibo Corp ADRs","China","PRIVATE","","Communication Services","$11,277,255,000","19.90","6.67","2.22","0.00%","2,060,036","Analyze"
"RDY","Dr. Reddys Laboratories ADRs","India","IS:DRREDDY","National Stock Exchange Of India","Health Care","$10,429,407,556","35.70","3.99","0.06","0.53%","181,656","Analyze"
"CX","Cemex SAB de CV ADRs","Mexico","MM:CEMEXCPO","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Materials","$10,089,344,950","-6.88","0.76","1.25","0.14%","9,350,501","Analyze"
"AEG","Aegon NV  ADRs","The Netherlands","NA:AGN","Nyse Euronext - Euronext Amsterdam","Financials","$10,062,563,870","4.12","0.08","0.40","2.98%","2,636,376","Analyze"
"MLCO","Melco Resorts & Entertainment Limited ADRs","Hong Kong","PRIVATE","","Consumer Discretionary","$9,673,325,502","-7.66","5.90","8.78","0.83%","1,999,466","Analyze"
"AU","AngloGold Ashanti ADRs","South Africa","SJ:ANG","Johannesburg Stock Exchange","Materials","$9,588,215,668","11.20","1.90","2.59","2.03%","3,914,077","Analyze"
"KC","Kingsoft Cloud Holdings Limited ADRs","China","PRIVATE","","Information Technology","$9,579,700,638","0.00","9.56","1.16","0.00%","2,374,888","Analyze"
"SSL","Sasol Ltd ADRs","South Africa","SJ:SOL","Johannesburg Stock Exchange","Materials","$9,460,015,322","13.07","0.59","0.06","6.57%","586,024","Analyze"
"GFI","Gold Fields ADRs","South Africa","SJ:GFI","Johannesburg Stock Exchange","Materials","$8,999,899,579","19.88","2.08","2.46","3.03%","7,810,663","Analyze"
"SID","Companhia Siderurgica Nacional-CSN ADRs","Brazil","BS:CSNA3","XBSP","Materials","$8,935,654,863","13.56","1.53","0.90","0.03%","4,172,895","Analyze"
"MBT","Mobile TeleSystems PJSC ADRs","Russia","RX:MTSS","Standard-Classica-Forts","Communication Services","$8,213,348,277","67.93","1.26","0.29","9.66%","4,659,814","Analyze"
